method;traces;pollution;param;p
cri_tvla_2;500;gauss;64;7.99365839534364e-06
dlla9;500;gauss;64;2.8143381858312774e-10
dlla2;500;gauss;64;1.2780074030160904e-06
cri_tvla_1;500;gauss;72;4.173396431613554e-13
cri_tvla_2;500;gauss;72;4.328940208422867e-05
dlla9;500;gauss;72;1.2007693600702403e-12
dlla2;500;gauss;72;1.2780074030160904e-06
cri_tvla_1;500;gauss;80;3.9293867860294044e-10
cri_tvla_2;500;gauss;80;2.4425251805241336e-06
dlla9;500;gauss;80;1.2848905914521997e-13
dlla2;500;gauss;80;0.0010512007866054773
cri_tvla_1;500;gauss;88;2.8309354701644504e-10
cri_tvla_2;500;gauss;88;3.3805668229121224e-06
dlla9;500;gauss;88;2.1618585906199076e-11
dlla2;500;gauss;88;9.650597348809242e-06
cri_tvla_1;500;gauss;96;3.9305704301252125e-08
cri_tvla_2;500;gauss;96;8.011237166972267e-07
dlla9;500;gauss;96;8.974149239124761e-12
dlla2;500;gauss;96;0.0010512007866054773
cri_tvla_1;500;gauss;104;3.267794302732134e-08
cri_tvla_2;500;gauss;104;2.3356949440291034e-06
dlla9;500;gauss;104;4.26086315230836e-12
dlla2;500;gauss;104;1.2780074030160904e-06
cri_tvla_1;500;gauss;112;1.0287247725223064e-06
cri_tvla_2;500;gauss;112;3.615572168266915e-05
dlla9;500;gauss;112;2.8157197620629263e-13
dlla2;500;gauss;112;5.653710104525089e-05
cri_tvla_1;500;gauss;120;4.8062609696010895e-06
cri_tvla_2;500;gauss;120;0.0001633276714690146
dlla9;500;gauss;120;1.952975347081438e-08
dlla2;500;gauss;120;0.0010512007866054773
cri_tvla_1;500;gauss;128;2.7390534844972163e-08
cri_tvla_2;500;gauss;128;4.0214897035792745e-05
dlla9;500;gauss;128;7.704118391189465e-10
dlla2;500;gauss;128;0.010030803503468633
cri_tvla_1;500;gauss;136;1.4835884080990413e-05
cri_tvla_2;500;gauss;136;8.100088400305112e-06
dlla9;500;gauss;136;7.213702583676783e-09
dlla2;500;gauss;136;5.653710104525089e-05
cri_tvla_1;500;gauss;144;1.3864943390225627e-05
cri_tvla_2;500;gauss;144;0.0001681162232819468
dlla9;500;gauss;144;8.380080174147732e-07
dlla2;500;gauss;144;0.025051229866221547
cri_tvla_1;500;gauss;152;8.622107246038515e-06
cri_tvla_2;500;gauss;152;0.00010869802290267281
dlla9;500;gauss;152;1.4149797664335742e-07
dlla2;500;gauss;152;0.18854279373772442
cri_tvla_1;500;gauss;160;7.770919221871154e-07
cri_tvla_2;500;gauss;160;6.039814092062975e-06
dlla9;500;gauss;160;3.016411378832524e-06
dlla2;500;gauss;160;0.0002675263676792383
cri_tvla_1;500;gauss;168;3.6002058142872466e-05
cri_tvla_2;500;gauss;168;2.7213438058512593e-06
dlla9;500;gauss;168;2.5125222717418303e-06
dlla2;500;gauss;168;0.055092082591727376
cri_tvla_1;500;gauss;176;0.00011744684619049833
cri_tvla_2;500;gauss;176;1.2951243331234646e-05
dlla9;500;gauss;176;3.064494520269777e-06
dlla2;500;gauss;176;0.10766357486136258
cri_tvla_1;500;gauss;184;5.361843311942499e-05
cri_tvla_2;500;gauss;184;7.068564638441799e-05
dlla9;500;gauss;184;0.00018487143914489577
dlla2;500;gauss;184;0.5699749670457095
cri_tvla_1;500;gauss;192;1.965171758542212e-06
cri_tvla_2;500;gauss;192;1.890435634022444e-05
dlla9;500;gauss;192;4.25144819661078e-05
dlla2;500;gauss;192;0.10766357486136258
cri_tvla_1;500;gauss;200;0.00021288892278156118
cri_tvla_2;500;gauss;200;9.503076546608742e-05
dlla9;500;gauss;200;0.06402814895920612
dlla2;500;gauss;200;0.4300250329542905
cri_tvla_1;500;gauss;208;0.00014788827627170106
cri_tvla_2;500;gauss;208;4.134878468047864e-05
dlla9;500;gauss;208;3.454155419222685e-08
dlla2;500;gauss;208;0.055092082591727376
cri_tvla_1;500;gauss;216;8.690825805871637e-05
cri_tvla_2;500;gauss;216;7.012790702511391e-05
dlla9;500;gauss;216;0.00021009029299105862
dlla2;500;gauss;216;0.4300250329542905
cri_tvla_1;500;gauss;224;9.306555626936705e-05
cri_tvla_2;500;gauss;224;3.429701203919193e-05
dlla9;500;gauss;224;0.0038749369173020744
dlla2;500;gauss;224;0.18854279373772442
cri_tvla_1;500;gauss;232;8.841895976286785e-05
cri_tvla_2;500;gauss;232;2.7425245289192863e-05
dlla9;500;gauss;232;0.016332942949631172
dlla2;500;gauss;232;0.055092082591727376
cri_tvla_1;500;gauss;240;1.065515927104182e-05
cri_tvla_2;500;gauss;240;0.00015056435007166182
dlla9;500;gauss;240;0.052260092003689626
dlla2;500;gauss;240;0.29830744792707264
cri_tvla_1;500;gauss;248;0.001444783386904694
cri_tvla_2;500;gauss;248;3.781314892250076e-05
dlla9;500;gauss;248;0.0004199127835696355
dlla2;500;gauss;248;0.29830744792707264
