method;pollution;param;p
tvla_t_2;desync;270;6.563066954842659e-06
tvla_t_3;desync;270;0.1235922439521883
dlla_open;desync;270;6.385950963787447e-77
dlla_wegener;desync;270;1.0318895838574468e-28
tvla_t_1;desync;280;0.00012469512969997133
tvla_t_2;desync;280;0.0004918236551154622
tvla_t_3;desync;280;0.2053758508587254
dlla_open;desync;280;5.775926331047083e-85
dlla_wegener;desync;280;3.3654012919634834e-31
tvla_t_1;desync;290;1.4966956787141803e-07
tvla_t_2;desync;290;0.000836743333870698
tvla_t_3;desync;290;0.21956240241684966
dlla_open;desync;290;6.121725760622622e-80
dlla_wegener;desync;290;2.4973315511776188e-22
tvla_t_1;desync;300;4.599991343108979e-05
tvla_t_2;desync;300;0.0006480136116586855
tvla_t_3;desync;300;0.18393618150050767
dlla_open;desync;300;2.1959012761247383e-88
dlla_wegener;desync;300;3.448727739174739e-23
tvla_t_1;desync;310;0.00016718215501282033
tvla_t_2;desync;310;0.0005154009649684812
tvla_t_3;desync;310;0.2654215529431846
dlla_open;desync;310;9.037008481657142e-75
dlla_wegener;desync;310;2.0515348993584317e-25
tvla_t_1;desync;320;1.4595528211832626e-05
tvla_t_2;desync;320;0.0005614257305800654
tvla_t_3;desync;320;0.293349631871177
dlla_open;desync;320;3.5148327760500405e-81
dlla_wegener;desync;320;3.448727739174739e-23
tvla_t_1;desync;330;7.547684092409057e-05
tvla_t_2;desync;330;1.3043674566309519e-05
tvla_t_3;desync;330;0.2757425713714483
dlla_open;desync;330;2.44340020706902e-89
dlla_wegener;desync;330;8.40544941360109e-27
tvla_t_1;desync;340;4.0051049116402074e-05
tvla_t_2;desync;340;6.059815721825554e-06
tvla_t_3;desync;340;0.20235902721923776
dlla_open;desync;340;1.5421692747867092e-95
dlla_wegener;desync;340;1.0791074548134475e-30
tvla_t_1;desync;350;0.00013142400648592556
tvla_t_2;desync;350;0.0032305844813528277
tvla_t_3;desync;350;0.3642916180287853
dlla_open;desync;350;2.8482529222352595e-84
dlla_wegener;desync;350;7.143677789491538e-26
tvla_t_1;desync;360;2.1204857741762554e-06
tvla_t_2;desync;360;3.817495805380467e-05
tvla_t_3;desync;360;0.3200272392078334
dlla_open;desync;360;1.2942595630135352e-98
dlla_wegener;desync;360;8.40544941360109e-27
tvla_t_1;desync;370;8.360592035700762e-05
tvla_t_2;desync;370;0.0019290261120038957
tvla_t_3;desync;370;0.3041645052476233
dlla_open;desync;370;1.685806582789952e-75
dlla_wegener;desync;370;4.514771997238868e-21
tvla_t_1;desync;380;2.217786489787755e-05
tvla_t_2;desync;380;5.8696910794125166e-05
tvla_t_3;desync;380;0.173548633447626
dlla_open;desync;380;2.6654422083553414e-69
dlla_wegener;desync;380;1.076605051080013e-29
tvla_t_1;desync;390;7.378198179678634e-06
tvla_t_2;desync;390;0.0018209003397289967
tvla_t_3;desync;390;0.11644661303845064
dlla_open;desync;390;4.6830374360620465e-73
dlla_wegener;desync;390;2.7300111309182428e-18
tvla_t_1;desync;400;1.3815863468826434e-05
tvla_t_2;desync;400;2.406956673547578e-05
tvla_t_3;desync;400;0.34213595097676675
dlla_open;desync;400;1.0409085244323874e-75
dlla_wegener;desync;400;3.448727739174739e-23
tvla_t_1;desync;410;0.0006193143499041843
tvla_t_2;desync;410;0.0011351363148413545
tvla_t_3;desync;410;0.3934136861161516
dlla_open;desync;410;1.5794339349141048e-80
dlla_wegener;desync;410;3.425608256810075e-30
tvla_t_1;desync;420;4.790869961639441e-05
tvla_t_2;desync;420;0.0004511520432231656
tvla_t_3;desync;420;0.18179904926628612
dlla_open;desync;420;5.1794977841567226e-70
dlla_wegener;desync;420;2.8402444239693933e-27
tvla_t_1;desync;430;0.006771879970005823
tvla_t_2;desync;430;0.004008042090515565
tvla_t_3;desync;430;0.09019450627726099
dlla_open;desync;430;5.466371093559346e-78
dlla_wegener;desync;430;1.6419114245464478e-24
tvla_t_1;desync;440;0.00012008481801993622
tvla_t_2;desync;440;0.004360508873164411
tvla_t_3;desync;440;0.37388038434276016
dlla_open;desync;440;1.2021976412521507e-75
dlla_wegener;desync;440;2.46272600623333e-26
tvla_t_1;desync;450;0.0028013494947021103
tvla_t_2;desync;450;0.0001389054166755013
tvla_t_3;desync;450;0.35820119220902824
dlla_open;desync;450;5.3821628242004995e-80
dlla_wegener;desync;450;4.603841524843077e-19
tvla_t_1;gauss;0;1.2910650498033135e-13
tvla_t_2;gauss;0;0.0005619653875408787
tvla_t_3;gauss;0;0.17462789987567767
dlla_open;gauss;0;8.600855385881245e-123
dlla_wegener;gauss;0;6.885533713330119e-40
tvla_t_1;gauss;100;1.2067466499872253e-12
tvla_t_2;gauss;100;8.54827894570972e-07
tvla_t_3;gauss;100;0.0015832768502798086
dlla_open;gauss;100;2.064856189465283e-159
dlla_wegener;gauss;100;4.711603357427752e-37
tvla_t_1;gauss;200;3.231770880138097e-08
tvla_t_2;gauss;200;9.812540443281471e-05
tvla_t_3;gauss;200;0.02389302881553416
dlla_open;gauss;200;7.908065402514401e-109
dlla_wegener;gauss;200;3.099081386066489e-42
tvla_t_1;gauss;300;6.3156319555997376e-06
tvla_t_2;gauss;300;0.011393117341082679
tvla_t_3;gauss;300;0.09944836460958777
dlla_open;gauss;300;3.9949017807036244e-72
dlla_wegener;gauss;300;1.2625088312013694e-23
tvla_t_1;gauss;400;0.00016272674092774835
tvla_t_2;gauss;400;0.01228134924406645
tvla_t_3;gauss;400;0.14005820133022898
dlla_open;gauss;400;3.473982768010453e-56
dlla_wegener;gauss;400;6.620193805206593e-22
tvla_t_1;gauss;500;0.0008873160976581099
tvla_t_2;gauss;500;0.008759276225119378
tvla_t_3;gauss;500;0.16133344534533195
dlla_open;gauss;500;4.1869383140856864e-38
dlla_wegener;gauss;500;8.516756947710962e-17
tvla_t_1;gauss;600;0.007457014389278389
tvla_t_2;gauss;600;0.021531781241835697
tvla_t_3;gauss;600;0.15310651021679592
dlla_open;gauss;600;9.37941634028734e-27
dlla_wegener;gauss;600;4.121552504179989e-12
tvla_t_1;gauss;700;0.0015853086362359835
tvla_t_2;gauss;700;0.021393908999596013
tvla_t_3;gauss;700;0.20253319757491958
dlla_open;gauss;700;7.964725363767779e-28
dlla_wegener;gauss;700;2.5146839057923464e-07
tvla_t_1;gauss;800;0.003997708559750059
tvla_t_2;gauss;800;0.02085277039743424
tvla_t_3;gauss;800;0.1596205590370487
dlla_open;gauss;800;1.5321280260422228e-20
dlla_wegener;gauss;800;3.053217879504434e-06
tvla_t_1;gauss;900;0.02684305222940465
tvla_t_2;gauss;900;0.014546129943630656
tvla_t_3;gauss;900;0.15297196327035673
dlla_open;gauss;900;2.816763284899812e-20
dlla_wegener;gauss;900;1.889562766256615e-06
tvla_t_1;gauss;1000;0.013030702637679307
tvla_t_2;gauss;1000;0.005290890627981184
tvla_t_3;gauss;1000;0.16554568249065676
dlla_open;gauss;1000;5.1077559896533795e-12
dlla_wegener;gauss;1000;0.0033278027414746884
tvla_t_1;gauss;1100;0.0057560729685810445
tvla_t_2;gauss;1100;0.004693205237745316
tvla_t_3;gauss;1100;0.173496971052586
dlla_open;gauss;1100;2.435266505345808e-14
dlla_wegener;gauss;1100;0.017404239405933563
tvla_t_1;gauss;1200;0.010024340322317986
tvla_t_2;gauss;1200;0.025533990631286616
tvla_t_3;gauss;1200;0.16231336787133357
dlla_open;gauss;1200;4.547379023535624e-08
dlla_wegener;gauss;1200;0.028094181294069306
tvla_t_1;gauss;1300;0.018864988824102306
tvla_t_2;gauss;1300;0.013177948604912459
tvla_t_3;gauss;1300;0.11659619207663498
dlla_open;gauss;1300;0.0004975258663196577
dlla_wegener;gauss;1300;0.01351503827388624
tvla_t_1;gauss;1400;0.018639014392355734
tvla_t_2;gauss;1400;0.017266163441212252
tvla_t_3;gauss;1400;0.20914768084061286
dlla_open;gauss;1400;0.002725385308224932
dlla_wegener;gauss;1400;0.13446249025580992
tvla_t_1;gauss;1500;0.0370788563705409
tvla_t_2;gauss;1500;0.02600344021513737
tvla_t_3;gauss;1500;0.1724282653139188
dlla_open;gauss;1500;0.00457524640519071
dlla_wegener;gauss;1500;0.0009178018596485573
tvla_t_1;gauss;1600;0.028719125028706716
tvla_t_2;gauss;1600;0.02667613952018089
