,DL-LA 9-class,DL-LA Wegener,"TVLA $t$-test, $\mu_2$"
0,,0.5,1.0
1,,0.25,1.0
2,,0.125,1.0
3,,0.3125,0.9994260548163842
4,0.8810138682278075,0.5,0.998852109632768
5,0.8810138682278075,0.34375,0.9982781644491517
6,0.9025215437736186,0.2265625,0.9977042192655361
7,0.9025215437736186,0.14453125,0.9971302740819198
8,0.7512786976380906,0.08984375,0.9965563288983039
9,0.7512786976380906,0.0546875,0.9959823837146878
10,0.4222807634496897,0.03271484375,0.995408438531072
11,0.4222807634496897,0.019287109375,0.9948344933474559
12,0.43561271260331924,0.046142578125,0.99426054816384
13,0.43561271260331924,0.08978271484375,0.993686602980224
14,0.2780180252170285,0.15087890625,0.9931126577966077
15,0.2780180252170285,0.1050567626953125,0.9925387126129921
16,0.28363246717650814,0.0717315673828125,0.9919647674293761
17,0.28363246717650814,0.048126220703125,0.9913908222457597
18,0.1662347136519221,0.08353424072265625,0.9908168770621438
19,0.1662347136519221,0.13158798217773438,0.9902429318785281
20,0.08080511271142839,0.09462356567382812,0.9896689866949122
21,0.08080511271142839,0.06690025329589844,0.9890950415112958
22,0.038558011249800274,0.04656982421875,0.9885210963276799
23,0.038558011249800274,0.07579481601715088,0.9879471511440642
24,0.015056413238049798,0.05387607216835022,0.987373205960448
25,0.015056413238049798,0.03775934875011444,0.9867992607768319
26,0.023511050618211394,0.026119492948055267,0.986225315593216
27,0.023511050618211394,0.04357927665114403,0.9856513704095999
28,0.018801360184024604,0.03071417286992073,0.9850774252259841
29,0.018801360184024604,0.02138697262853384,0.9845034800423678
30,0.019910540637419576,0.035377772990614176,0.9839295348587518
31,0.019910540637419576,0.025051229866221547,0.9833555896751358
32,0.02022899947451215,0.01754101668484509,0.9827816444915201
33,0.02022899947451215,0.012153255054727197,0.9822076993079041
34,0.01395439137603006,0.008336923900060356,0.9816337541242877
35,0.01395439137603006,0.005665492091793567,0.9810598089406719
36,0.012367111330138828,0.003816039301455021,0.9804858637570557
37,0.012367111330138828,0.0025488216488156468,0.9799119185734397
38,0.016092571460305127,0.0016889239559532143,0.9793379733898238
39,0.016092571460305127,0.003213288047845708,0.978764028206208
40,0.02553550188861615,0.002162002467230195,0.9781900830225917
41,0.02553550188861615,0.003957948667448363,0.977616137838976
42,0.013640214692588346,0.0027007863272956456,0.9770421926553599
43,0.013640214692588346,0.004779939428317449,0.9764682474717435
44,0.0072096882626939175,0.003304411421140685,0.9758943022881279
45,0.0072096882626939175,0.005675795718389054,0.9753203571045118
46,0.005575556738522288,0.003971363254741789,0.9747464119208958
47,0.005575556738522288,0.006641640781122504,0.9741724667372799
48,0.004650294432234593,0.010647057070693577,0.973598521553664
49,0.004650294432234593,0.016419568782134242,0.9730245763700479
50,0.004344176630428816,0.024436946159135164,0.9724506311864314
51,0.004344176630428816,0.018241700004179906,0.9718766860028157
52,0.004848155723807801,0.013504158826861179,0.9713027408192
53,0.004848155723807801,0.02011178204785835,0.970728795635584
54,0.007921656738319858,0.029032073396204533,0.9701548504519677
55,0.007921656738319858,0.0407134073047531,0.9695809052683518
56,0.009539411059563014,0.03136834017791425,0.9690069600847359
57,0.009539411059563014,0.023970162035833485,0.9684330149011198
58,0.007463162911677317,0.03372230595039449,0.9678590697175038
59,0.007463162911677317,0.02594694796446072,0.9672851245338878
60,0.010343665842777952,0.03608871925046128,0.9667111793502718
61,0.010343665842777952,0.02794861334985556,0.9661372341666556
62,0.015064050409289315,0.021478272762194595,0.9655632889830399
63,0.015064050409289315,0.029970594783499605,0.9649893437994237
64,0.008472533154529557,0.04084076697077002,0.9644153986158075
65,0.008472533154529557,0.05442848220485803,0.963841453432192
66,0.028013230562912703,0.043218617136735436,0.9632675082485758
67,0.028013230562912703,0.05712715342496163,0.9626935630649598
