method;pollution;param;p
dlla_open;desync;8.5;0.18503023657082499
dlla_wegener;desync;8.5;0.5
tvla_t_1;desync;8.75;0.06848621404700692
tvla_t_2;desync;8.75;0.10446981069779268
dlla_open;desync;8.75;0.4646439958856867
dlla_wegener;desync;8.75;0.6480803513769754
tvla_t_1;gauss;0.0;0.05997395369391516
tvla_t_2;gauss;0.0;0.04025770781428886
dlla_open;gauss;0.0;7.894319358408822e-16
dlla_wegener;gauss;0.0;9.215631043701869e-09
tvla_t_1;gauss;0.5;0.0018262432666035602
tvla_t_2;gauss;0.5;0.023784594467091618
dlla_open;gauss;0.5;2.8040693163081763e-11
dlla_wegener;gauss;0.5;1.0331608424620206e-05
tvla_t_1;gauss;1.0;0.03292328008726743
tvla_t_2;gauss;1.0;0.011759398870951605
dlla_open;gauss;1.0;2.5236092312625537e-12
dlla_wegener;gauss;1.0;9.750248241293607e-05
tvla_t_1;gauss;1.5;0.039230480240521476
tvla_t_2;gauss;1.5;0.006381014220468842
dlla_open;gauss;1.5;7.782066994736896e-07
dlla_wegener;gauss;1.5;5.698875909992337e-07
tvla_t_1;gauss;2.0;0.03986410485506953
tvla_t_2;gauss;2.0;0.02855176415103547
dlla_open;gauss;2.0;6.134810411201323e-07
dlla_wegener;gauss;2.0;3.8510258919811666e-05
tvla_t_1;gauss;2.5;0.01705497749841422
tvla_t_2;gauss;2.5;0.028698128828587872
dlla_open;gauss;2.5;6.4373181062573265e-06
dlla_wegener;gauss;2.5;0.007488909335178084
tvla_t_1;gauss;3.0;0.03501122116955925
tvla_t_2;gauss;3.0;0.025450008018506748
dlla_open;gauss;3.0;5.223594969291947e-08
dlla_wegener;gauss;3.0;0.0003116280245401649
tvla_t_1;gauss;3.5;0.06601347571887198
tvla_t_2;gauss;3.5;0.010270984514836098
dlla_open;gauss;3.5;0.00046224490567170435
dlla_wegener;gauss;3.5;0.040175110012735535
tvla_t_1;gauss;4.0;0.025049992227373617
tvla_t_2;gauss;4.0;0.013270542108991493
dlla_open;gauss;4.0;0.00017582693171152672
dlla_wegener;gauss;4.0;0.02403532146075321
tvla_t_1;gauss;4.5;0.018025648306231278
tvla_t_2;gauss;4.5;0.019849102072073382
dlla_open;gauss;4.5;0.0025341368105407363
dlla_wegener;gauss;4.5;0.007488909335178084
tvla_t_1;gauss;5.0;0.01840054837278164
tvla_t_2;gauss;5.0;0.03639540983975098
dlla_open;gauss;5.0;0.014215177311489904
dlla_wegener;gauss;5.0;0.3519196486230246
tvla_t_1;gauss;5.5;0.025462489155865325
tvla_t_2;gauss;5.5;0.008380811119812486
dlla_open;gauss;5.5;0.003803951284272352
dlla_wegener;gauss;5.5;0.016635381483503804
tvla_t_1;gauss;6.0;0.0309529934939922
tvla_t_2;gauss;6.0;0.028661898372164183
dlla_open;gauss;6.0;0.08667570580095271
dlla_wegener;gauss;6.0;0.007488909335178084
tvla_t_1;gauss;6.5;0.026058035714172718
tvla_t_2;gauss;6.5;0.028854288566909792
dlla_open;gauss;6.5;0.31346406410548855
dlla_wegener;gauss;6.5;0.24690634341038636
tvla_t_1;gauss;7.0;0.004133616768745608
tvla_t_2;gauss;7.0;0.005874805011334342
dlla_open;gauss;7.0;0.4963676141331148
dlla_wegener;gauss;7.0;0.034024197632878846
tvla_t_1;gauss;7.5;0.060701503907374894
tvla_t_2;gauss;7.5;0.004416106129841353
dlla_open;gauss;7.5;0.48981745582144365
dlla_wegener;gauss;7.5;0.055177400990157166
tvla_t_1;gauss;8.0;0.01692622701519497
tvla_t_2;gauss;8.0;0.02051933672953706
dlla_open;gauss;8.0;0.4343712325439927
dlla_wegener;gauss;8.0;0.29729369131626104
tvla_t_1;gauss;8.5;0.06143911232864284
tvla_t_2;gauss;8.5;0.02007859100013027
dlla_open;gauss;8.5;0.058869119702790955
dlla_wegener;gauss;8.5;0.702706308683739
tvla_t_1;gauss;0.0;0.016945132327433228
tvla_t_2;gauss;0.0;0.010933194600147085
dlla_open;gauss;0.0;1.2793161685159749e-15
dlla_wegener;gauss;0.0;0.00017622574034056827
tvla_t_1;gauss;0.1;0.05589136915593387
tvla_t_2;gauss;0.1;0.029102383930033695
dlla_open;gauss;0.1;5.5977357447476214e-15
dlla_wegener;gauss;0.1;3.3688293974139295e-08
tvla_t_1;gauss;0.2;0.03978542129237701
tvla_t_2;gauss;0.2;0.010405605862254565
dlla_open;gauss;0.2;5.5099092747734014e-14
dlla_wegener;gauss;0.2;2.612143346970018e-07
tvla_t_1;gauss;0.30000000000000004;0.04393966446766881
tvla_t_2;gauss;0.30000000000000004;0.029121106448107944
dlla_open;gauss;0.30000000000000004;7.491855243807546e-14
dlla_wegener;gauss;0.30000000000000004;1.8642056081054653e-11
tvla_t_1;gauss;0.4;0.07993049487899981
tvla_t_2;gauss;0.4;0.013774034680298268
dlla_open;gauss;0.4;6.727110388767159e-14
dlla_wegener;gauss;0.4;1.5125514702253652e-09
tvla_t_1;gauss;0.5;0.05447260978504475
tvla_t_2;gauss;0.5;0.04515103854253158
dlla_open;gauss;0.5;6.628805240084844e-12
dlla_wegener;gauss;0.5;0.0007035251633299395
tvla_t_1;gauss;0.6000000000000001;0.019808945273901743
tvla_t_2;gauss;0.6000000000000001;0.03419629222163674
dlla_open;gauss;0.6000000000000001;1.1409881980101878e-13
dlla_wegener;gauss;0.6000000000000001;2.612143346970018e-07
tvla_t_1;gauss;0.7000000000000001;0.022197121771456548
tvla_t_2;gauss;0.7000000000000001;0.010596740537543028
dlla_open;gauss;0.7000000000000001;2.163562237391175e-10
dlla_wegener;gauss;0.7000000000000001;2.396534773887119e-09
tvla_t_1;gauss;0.8;0.07120496833987362
tvla_t_2;gauss;0.8;0.03579761561069898
dlla_open;gauss;0.8;5.842047166387739e-11
dlla_wegener;gauss;0.8;1.7537141102941036e-07
tvla_t_1;gauss;0.9;0.04222190777113158
tvla_t_2;gauss;0.9;0.027883409110401984
dlla_open;gauss;0.9;7.561387001703432e-12
dlla_wegener;gauss;0.9;7.193180651793548e-05
tvla_t_1;gauss;1.0;0.01687980900980746
tvla_t_2;gauss;1.0;0.049183961460281755
dlla_open;gauss;1.0;7.978663987166513e-12
dlla_wegener;gauss;1.0;1.215859491036232e-06
tvla_t_1;gauss;1.1;0.027629010927899537
tvla_t_2;gauss;1.1;0.010784253047526197
dlla_open;gauss;1.1;1.685290744785007e-10
dlla_wegener;gauss;1.1;1.7611623482680438e-06
tvla_t_1;gauss;1.2000000000000002;0.028846106970002925
tvla_t_2;gauss;1.2000000000000002;0.014071072750741877
dlla_open;gauss;1.2000000000000002;1.3883482838097758e-09
dlla_wegener;gauss;1.2000000000000002;0.00023498306417810459
tvla_t_1;gauss;1.3;0.04973205704965849
tvla_t_2;gauss;1.3;0.017305353545091134
dlla_open;gauss;1.3;4.87090489035056e-10
dlla_wegener;gauss;1.3;0.0004110302328688633
tvla_t_1;gauss;1.4000000000000001;0.031558276047961444
tvla_t_2;gauss;1.4000000000000001;0.020946568186797958
dlla_open;gauss;1.4000000000000001;1.1120974826020714e-08
dlla_wegener;gauss;1.4000000000000001;0.003099838391186999
tvla_t_1;gauss;1.5;0.02140680079431741
tvla_t_2;gauss;1.5;0.014363970223753644
dlla_open;gauss;1.5;1.3937987894740969e-06
dlla_wegener;gauss;1.5;0.0007035251633299395
tvla_t_1;gauss;1.6;0.03338708732942567
tvla_t_2;gauss;1.6;0.011950576079608628
dlla_open;gauss;1.6;6.64740581536379e-07
dlla_wegener;gauss;1.6;0.004869343420276532
tvla_t_1;gauss;1.7000000000000002;0.027480387403108063
tvla_t_2;gauss;1.7000000000000002;0.04174838850483877
dlla_open;gauss;1.7000000000000002;8.332181584329876e-08
dlla_wegener;gauss;1.7000000000000002;0.0038954394748660615
tvla_t_1;gauss;1.8;0.028139709359629093
tvla_t_2;gauss;1.8;0.01923746738250196
dlla_open;gauss;1.8;8.6109240762188e-08
dlla_wegener;gauss;1.8;0.00017622574034056827
tvla_t_1;gauss;1.9000000000000001;0.01419809401889723
tvla_t_2;gauss;1.9000000000000001;0.029221290479202935
dlla_open;gauss;1.9000000000000001;1.287937580950849e-08
dlla_wegener;gauss;1.9000000000000001;0.0007035251633299395
tvla_t_1;gauss;2.0;0.008579121149214733
tvla_t_2;gauss;2.0;0.022630956850267923
dlla_open;gauss;2.0;7.609114591396406e-07
dlla_wegener;gauss;2.0;9.750248241293607e-05
tvla_t_1;gauss;2.1;0.009338390873661449
tvla_t_2;gauss;2.1;0.04971505954313341
dlla_open;gauss;2.1;5.074461181129437e-10
dlla_wegener;gauss;2.1;2.016822685661071e-05
tvla_t_1;gauss;2.2;0.027417331774743713
tvla_t_2;gauss;2.2;0.014786169163940321
dlla_open;gauss;2.2;1.2772785889958817e-06
dlla_wegener;gauss;2.2;5.277672796140442e-05
tvla_t_1;gauss;2.3000000000000003;0.008542992209108492
tvla_t_2;gauss;2.3000000000000003;0.01615365374800787
dlla_open;gauss;2.3000000000000003;3.550043365686388e-07
dlla_wegener;gauss;2.3000000000000003;0.0009129741742743438
tvla_t_1;gauss;2.4000000000000004;0.028224198348418408
tvla_t_2;gauss;2.4000000000000004;0.025290752681306622
dlla_open;gauss;2.4000000000000004;5.63489030409442e-08
dlla_wegener;gauss;2.4000000000000004;2.79459792422075e-05
tvla_t_1;gauss;2.5;0.016957297835382842
tvla_t_2;gauss;2.5;0.010378444429131993
dlla_open;gauss;2.5;0.00011408715052329293
