,$\mu_{1}$,$\mu_{2}$,$\mu_{3}$
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,0.31533359620122975,0.10847228545563264,
7,0.31533359620122975,0.10847228545563264,
8,1.0,0.08830418695979766,0.416993003235389
9,1.0,0.08830418695979766,0.416993003235389
10,0.7093886520598387,0.037516747825779156,0.4219133788019833
11,0.7093886520598387,0.037516747825779156,0.4219133788019833
12,0.4839400434753175,0.012344511574023527,0.2820658049248741
13,0.4839400434753175,0.012344511574023527,0.2820658049248741
14,0.7418455848381813,0.007830009230038659,0.30493229755452644
15,0.7418455848381813,0.007830009230038659,0.30493229755452644
16,0.7656149089819696,0.008372705641127732,0.25990697342773184
17,0.7656149089819696,0.008372705641127732,0.25990697342773184
18,0.7653294654865743,0.019781706357179782,0.3245019071288864
19,0.7653294654865743,0.019781706357179782,0.3245019071288864
20,0.5636270105965149,0.008302487949066075,0.3906530414385899
21,0.5636270105965149,0.008302487949066075,0.3906530414385899
22,0.5959597152912748,0.007937805302337763,0.4325297034028781
23,0.5959597152912748,0.007937805302337763,0.4325297034028781
24,0.43979823063144907,0.007573612512388049,0.478209403282839
25,0.43979823063144907,0.007573612512388049,0.478209403282839
26,0.6196001632041991,0.006433006049437058,0.4745784412941274
27,0.6196001632041991,0.006433006049437058,0.4745784412941274
28,0.6194207718959354,0.008868820385410628,0.4505594324106079
29,0.6194207718959354,0.008868820385410628,0.4505594324106079
30,0.46813852652147014,0.01225055227015078,0.4389974771735746
31,0.46813852652147014,0.01225055227015078,0.4389974771735746
32,0.639388545718686,0.04692934495512593,0.40524946924670757
33,0.639388545718686,0.04692934495512593,0.40524946924670757
34,0.6392692352675454,0.07966940520683814,0.4648304745387105
35,0.6392692352675454,0.07966940520683814,0.4648304745387105
36,0.4925492577804591,0.07569210473212896,0.4361120466707109
37,0.4925492577804591,0.07569210473212896,0.4361120466707109
38,0.5140000867135162,0.0839091646616417,0.35552634108264847
39,0.5140000867135162,0.0839091646616417,0.35552634108264847
40,0.5311418917587125,0.4881795785240344,0.4002046491125152
41,0.5311418917587125,0.4881795785240344,0.4002046491125152
42,0.5311656324592402,0.9937158292671587,0.41590900184845137
43,0.5311656324592402,0.9937158292671587,0.41590900184845137
44,0.5497718586240485,0.9806945669787388,0.41443134645381086
45,0.5497718586240485,0.9806945669787388,0.41443134645381086
46,0.695731056931273,0.9071926146059478,0.4270727207848857
47,0.695731056931273,0.9071926146059478,0.4270727207848857
48,0.7067073534952295,0.9673385194312734,0.38490819169380674
49,0.7067073534952295,0.9673385194312734,0.38490819169380674
50,0.9999999999999999,0.956564753433145,0.39271408236473127
51,0.9999999999999999,0.956564753433145,0.39271408236473127
52,0.8580733802108191,0.9587113071895046,0.5325681924506434
53,0.8580733802108191,0.9587113071895046,0.5325681924506434
54,0.8620718330173898,0.8468881070764801,0.527929343139454
55,0.8620718330173898,0.8468881070764801,0.527929343139454
56,0.7315267004912649,0.8390283862508757,0.5307275269985661
57,0.7315267004912649,0.8390283862508757,0.5307275269985661
58,0.6124353861679771,0.8720584669620813,0.531776594421093
59,0.6124353861679771,0.8720584669620813,0.531776594421093
60,0.8696784818729869,0.9376004517413024,0.5553295221812607
61,0.8696784818729869,0.9376004517413024,0.5553295221812607
62,0.7584756303452139,0.996247619702672,0.55119944110914
63,0.7584756303452139,0.996247619702672,0.55119944110914
64,0.8792299265751544,0.8707174865235571,0.5908186021075027
65,0.8792299265751544,0.8707174865235571,0.5908186021075027
66,0.8792167326732196,0.9968840610550112,0.5961825096423059
67,0.8792167326732196,0.9968840610550112,0.5961825096423059
68,0.8792043134535322,0.8590498381484156,0.8455826279543444
69,0.8792043134535322,0.8590498381484156,0.8455826279543444
70,0.8818888725116607,0.9552183325444052,0.9039436834707718
71,0.8818888725116607,0.9552183325444052,0.9039436834707718
72,0.6625222310279208,0.7163948978358823,0.9062116126270225
73,0.6625222310279208,0.7163948978358823,0.9062116126270225
74,0.40586305687835045,0.7527191328308472,0.8661200130630482
75,0.40586305687835045,0.7527191328308472,0.8661200130630482
76,0.41449444797172297,0.7644669524602683,0.838075707593253
77,0.41449444797172297,0.7644669524602683,0.838075707593253
78,0.42234996295563487,0.8919096966986354,0.8818413399093188
79,0.42234996295563487,0.8919096966986354,0.8818413399093188
80,0.5081227437515692,0.8237030098572956,0.8846688863118476
81,0.5081227437515692,0.8237030098572956,0.8846688863118476
82,0.5996152977484559,0.7092046946049559,0.8572242650687644
83,0.5996152977484559,0.7092046946049559,0.8572242650687644
84,0.6050681501819665,0.6686530502458883,0.9011384971130548
85,0.6050681501819665,0.6686530502458883,0.9011384971130548
86,0.6116845549653371,0.6066184708357145,0.8540558040493047
87,0.6116845549653371,0.6066184708357145,0.8540558040493047
88,0.5285046938669875,0.8136057253218139,0.6015314781993275
