,DL-LA 9-class,DL-LA Wegener
0,,1.0
1,,0.75
2,,0.5
3,,0.6875
4,,0.8125
5,,0.65625
6,,0.5
7,,0.36328125
8,0.7015563706860073,0.25390625
9,0.7015563706860073,0.171875
10,0.7015563706860073,0.11328125
11,0.7015563706860073,0.072998046875
12,0.7957915760842766,0.046142578125
13,0.7957915760842766,0.0286865234375
14,0.7957915760842766,0.017578125
15,0.7957915760842766,0.0384063720703125
16,0.7962486654780019,0.0717315673828125
17,0.7962486654780019,0.1189422607421875
18,0.7962486654780019,0.08353424072265625
19,0.7962486654780019,0.057659149169921875
20,0.7745365810209548,0.09462356567382812
21,0.7745365810209548,0.06690025329589844
22,0.7745365810209548,0.04656982421875
23,0.7745365810209548,0.07579481601715088
24,0.48457532770933176,0.05387607216835022
25,0.48457532770933176,0.03775934875011444
26,0.48457532770933176,0.026119492948055267
27,0.48457532770933176,0.04357927665114403
28,0.714642799306757,0.03071417286992073
29,0.714642799306757,0.02138697262853384
30,0.714642799306757,0.035377772990614176
31,0.714642799306757,0.055092082591727376
32,0.9822075483775738,0.04007165622897446
33,0.9822075483775738,0.028806336456909776
34,0.9822075483775738,0.04476553946733475
35,0.9822075483775738,0.06624908198136836
36,0.9334949860596033,0.09387077949941158
37,0.9334949860596033,0.07165332714794204
38,0.9334949860596033,0.054064510703028645
39,0.9334949860596033,0.07692997208141605
40,0.8830027279086965,0.05863760297870613
41,0.8830027279086965,0.044214773493877146
42,0.8830027279086965,0.03299701722789906
43,0.8830027279086965,0.024383382952237298
44,0.9277593124837266,0.017848901777597348
45,0.9277593124837266,0.027038015929434774
46,0.9277593124837266,0.01999302841302608
47,0.9277593124837266,0.02973168762688516
48,0.7204386329005822,0.02219208049357491
49,0.7204386329005822,0.016419568782134242
50,0.7204386329005822,0.012046453849224648
51,0.7204386329005822,0.018241700004179906
52,0.5373424335310057,0.026719405268855523
53,0.5373424335310057,0.037952364744550715
54,0.5373424335310057,0.05239474121330167
55,0.5373424335310057,0.07044771179924036
56,0.4051915252877646,0.055580559551996735
57,0.4051915252877646,0.07400290038010299
58,0.4051915252877646,0.09626322888073136
59,0.4051915252877646,0.12253041651147291
60,0.18023134532121962,0.1000156842565516
61,0.18023134532121962,0.12642719709405537
62,0.18023134532121962,0.15675152664822636
63,0.18023134532121962,0.13021773828832678
64,0.14062206569951913,0.10726959700408921
65,0.14062206569951913,0.13390583242329349
66,0.14062206569951913,0.16421603134859494
67,0.14062206569951913,0.13749519808550012
68,0.1240545769577514,0.16777880911700757
69,0.1240545769577514,0.2014815375230399
70,0.1240545769577514,0.171235499209934
71,0.1240545769577514,0.2047896979635358
72,0.13797506059867967,0.2413942784220106
73,0.13797506059867967,0.2079925987536523
74,0.13797506059867967,0.2443414854515716
75,0.13797506059867967,0.2832867211993423
76,0.188926449236587,0.24719113684774996
77,0.188926449236587,0.28579335900153624
78,0.188926449236587,0.24994843843016332
79,0.188926449236587,0.28821531309419657
80,0.21196764444693222,0.25261822038346793
81,0.21196764444693222,0.21985271459291095
82,0.21196764444693222,0.2552049708406172
83,0.21196764444693222,0.29282339736061247
84,0.12774581244997651,0.3323227452066072
85,0.12774581244997651,0.29501780557427854
86,0.12774581244997651,0.3341424983594036
87,0.12774581244997651,0.29714414757347024
88,0.09745649630585118,0.26250739364621317
89,0.09745649630585118,0.2992058591167591
90,0.09745649630585118,0.2648010477381225
91,0.09745649630585118,0.2328537228865312
92,0.09762773034309312,0.2670299308673034
93,0.09762773034309312,0.23524605744518534
94,0.09762773034309312,0.20595503684048824
95,0.09762773034309312,0.23757602499328617
96,0.08180891935156667,0.271305079022937
97,0.08180891935156667,0.30686723381506953
98,0.08180891935156667,0.27335674179940633
99,0.08180891935156667,0.30864970679462606
100,0.10761586412636527,0.2753544567991359
101,0.10761586412636527,0.31038383439855793
102,0.10761586412636527,0.3468429825122419
103,0.10761586412636527,0.3120717579223396
104,0.10956006337993258,0.348233831495838
105,0.10956006337993258,0.31371548853931663
106,0.10956006337993258,0.28104634252689475
107,0.10956006337993258,0.2503831967082182
108,0.08097591846945913,0.28285005698681687
109,0.08097591846945913,0.31687782400957937
110,0.08097591846945913,0.2532137761343086
111,0.08097591846945913,0.28537519402908695
112,0.10272894603083998,0.2551069685576387
