,DL-LA 9-class,DL-LA Wegener,"TVLA $t$-test, $\mu_1$",TVLA $\rho$-test
0,1.0,0.55,1.0,
1,1.0,0.30833333333333335,1.0,
2,1.0,0.2375,1.0,
3,1.0,0.14166666666666666,,
4,0.12789826536632115,0.08854166666666667,,
5,0.12789826536632115,0.08072916666666667,,
6,0.04714823837107725,0.05703125,,
7,0.04714823837107725,0.0484375,,
8,0.017132831660457207,0.038671875,,
9,0.017132831660457207,0.028971354166666668,,
10,0.007232372853478403,0.032177734375,,
11,0.007232372853478403,0.024186197916666666,,
12,0.002676461851524347,0.016996256510416665,,
13,0.002676461851524347,0.01168212890625,,
14,0.0009053570568176887,0.008039347330729167,,
15,0.0009053570568176887,0.005431111653645833,,
16,0.0006262559419880798,0.0039937337239583336,,
17,0.0006262559419880798,0.004954910278320313,,
18,0.00019348566428862513,0.003375816345214844,,
19,0.00019348566428862513,0.002284812927246094,,
20,5.817367230526105e-05,0.0015444596608479818,,
21,5.817367230526105e-05,0.0010138750076293945,,
22,1.576029627960944e-05,0.0007223129272460937,,
23,1.576029627960944e-05,0.00046146710713704426,,
24,6.8906609949156686e-06,0.0002924203872680664,,
25,6.8906609949156686e-06,0.0001916120449701945,,
26,1.932241761357315e-06,0.00011929422616958618,,
27,1.932241761357315e-06,8.72783362865448e-05,,
28,6.382327528241962e-07,5.344239374001821e-05,,
29,6.382327528241962e-07,3.335801884531975e-05,,
30,2.2198379239303472e-07,2.0636493961016337e-05,,
31,2.2198379239303472e-07,1.2945492441455523e-05,,
32,9.411725072941373e-08,8.655351120978593e-06,,
33,9.411725072941373e-08,5.666801007464528e-06,,
34,6.254831537062401e-08,3.3445374962563316e-06,,
35,6.254831537062401e-08,2.1726256818510594e-06,,
36,1.6678567998556958e-08,1.3766058449012538e-06,,
37,1.6678567998556958e-08,1.1338766247111684e-06,,
38,4.0935291944458046e-09,6.600030853102604e-07,,
39,4.0935291944458046e-09,3.882974851876497e-07,,
40,9.58865230873898e-10,2.2443470394743297e-07,,
41,9.58865230873898e-10,3.3459843204279117e-07,,
42,3.3061444747483925e-10,1.9680255339456683e-07,,
43,3.3061444747483925e-10,1.1534393327868505e-07,,
44,1.7052497756240177e-10,6.735864985785155e-08,,
45,1.7052497756240177e-10,3.986567094216298e-08,,
46,4.4671446343870516e-11,2.3162040937071046e-08,,
47,4.4671446343870516e-11,1.4846993442082142e-08,,
48,7.703270028598418e-12,8.687795608845288e-09,,
49,7.703270028598418e-12,5.934174189074308e-09,,
50,2.5864503097311958e-12,6.853875615201825e-09,,
51,2.5864503097311958e-12,3.933255291836228e-09,,
52,6.92550648774154e-13,2.2512785450660526e-09,,
53,6.92550648774154e-13,1.2852628683557299e-09,,
54,1.3045189500326895e-13,7.32367813616186e-10,,
55,1.3045189500326895e-13,4.16276834299308e-10,,
56,9.335816144444677e-14,2.360668049927739e-10,,
57,9.335816144444677e-14,1.3357424703356695e-10,0.02106574870912685,0.04128529877778238
58,1.9005972372780397e-14,7.828731950904056e-11,,0.0576288688790214
59,1.9005972372780397e-14,4.600726920383121e-11,,0.03534369918238488
60,4.775850011089705e-15,2.600221736421641e-11,,
61,4.775850011089705e-15,3.9007182018579076e-11,,
62,1.0376864781888136e-15,2.2144459952810196e-11,0.013981484934930621,
63,1.0376864781888136e-15,1.2710018638690396e-11,0.020894707986268392,
64,8.673829010077622e-16,7.186431676160556e-12,0.02046929272569531,
65,8.673829010077622e-16,4.055519381960821e-12,0.019181607669881265,
66,1.7344596404009408e-16,2.2844155319018225e-12,0.020637428789768215,
67,1.7344596404009408e-16,1.2857473422895015e-12,0.013530559634066984,0.02206487426782785
68,1.443063138964741e-16,1.2683921457588423e-12,0.017469436687056205,0.02621671784178376
69,1.443063138964741e-16,7.461554219440416e-13,0.01736555791009825,0.026656009927234464
70,1.0195725170915236e-16,4.1832510569281823e-13,0.017946262700737854,0.02589424099731735
71,1.0195725170915236e-16,2.340510807895529e-13,0.015240943874158617,0.023406778336319694
72,4.931690515308637e-17,1.307528815351039e-13,0.010347253385957057,0.01846395720392314
73,4.931690515308637e-17,9.955777521301237e-14,0.013545645994582089,0.02138708478352646
74,1.7031301404489413e-17,5.570119613581056e-14,0.014325646018705573,0.021139683131274036
75,1.7031301404489413e-17,3.1016923358694046e-14,0.01380545369142277,0.02119910967065871
76,6.4644238165665534e-18,1.7781985703792802e-14,0.011149123928975846,0.01973157806386392
77,6.4644238165665534e-18,3.0012506256366175e-14,0.006287799869666878,0.014747201085142787
78,1.263821771746264e-18,1.7012208690595542e-14,0.00864670463358921,0.018271800991400033
79,1.263821771746264e-18,9.623754698399979e-15,0.009969795760442973,0.019250971092979623
80,2.644518051468543e-19,5.4770426163209025e-15,0.008049005596758311,0.01764270734593666
81,2.644518051468543e-19,3.302937546220045e-15,0.007039112901550475,0.01684019082452349
82,8.948091140698388e-20,1.8416438524612833e-15,0.004210446526266265,0.011727292849753327
83,8.948091140698388e-20,1.0326616921824101e-15,0.006032528778105103,0.012792518030354954
84,2.6574349068909416e-20,6.152656761374439e-16,0.006981890781173355,0.012054330163280324
85,2.6574349068909416e-20,3.4402522632160807e-16,0.007642637258841126,0.011202777882938709
86,9.473081732669193e-21,1.906929574348956e-16,0.007731496224673982,0.009561990093627102
87,9.473081732669193e-21,1.1249870098382185e-16,0.005304361391571548,0.005711978647082595
88,5.973448212118686e-21,9.638820905979764e-17,0.005044016707271052,0.007556987597939229
89,5.973448212118686e-21,7.253945179755081e-17,0.0064735724134798245,0.009335781325036638
90,1.2266483531589221e-21,5.0786224538112126e-17,0.005811608904386614,0.00959934155701302
91,1.2266483531589221e-21,2.876321972717523e-17,0.004854290654072904,0.008861442333726748
92,2.9862720161456027e-22,1.6223355243348618e-17,0.0023592039526366976,0.005985642549427657
93,2.9862720161456027e-22,8.94581328471923e-18,0.00418875810974389,0.0069805819622729345
94,6.5301096359454945e-22,4.92842879384839e-18,0.004719813634243246,0.007330255123521395
95,6.5301096359454945e-22,3.2625025720695705e-18,0.004739293302845383,0.008210444572835887
96,2.0450875564872316e-22,1.7941783112438992e-18,0.004018045234636383,0.008065107658971924
97,2.0450875564872316e-22,9.857113835248438e-19,0.0025816826976072073,0.006702568488671389
98,1.614173545930065e-22,1.3783513414148081e-18,0.0034245380894230536,0.007542003001675526
99,1.614173545930065e-22,7.616623747511075e-19,0.0034138015735785477,0.006890988969714441
100,3.534014851054494e-23,4.2045291866238504e-19,0.002964221142851306,0.0057942580003274725
101,3.534014851054494e-23,2.3188200457072794e-19,0.0024896912933324933,0.005270008528758451
102,8.187511260125564e-24,2.0616106014774668e-19,0.0014969361956170177,0.004477725629260821
103,8.187511260125564e-24,1.2278600457851545e-19,0.002508484030880175,0.005100173773095764
104,2.899001373007119e-23,7.009703982038597e-20,0.002142543098794061,0.004823041109082346
105,2.899001373007119e-23,3.868541560910496e-20,0.00192112483097768,0.004448626773170402
106,1.1759099818100187e-23,2.1260933136282144e-20,0.0015903428301590364,0.004721101536322509
107,1.1759099818100187e-23,1.5651728303367247e-20,0.0008995787978969389,0.0035812425804106693
108,2.807522201143754e-24,8.592746734677156e-21,0.001437180958897295,0.004314678764975417
109,2.807522201143754e-24,4.7133242142731865e-21,0.0015977406897996881,0.004188125661565363
110,7.301201523659068e-25,2.5832077144138566e-21,0.0014862149710821717,0.003677247812701993
111,7.301201523659068e-25,1.421142210192893e-21,0.0014484838043618943,0.0030432422155581194
112,1.8336072884008753e-25,9.768293841693707e-22,0.0010551934545660665,0.00197023032707451
113,1.8336072884008753e-25,2.5997291799453248e-21,0.0014499548605682788,0.0025840705739573738
114,4.0704601376166686e-26,1.4349020203400047e-21,0.001262688623746479,0.002743336727166289
115,4.0704601376166686e-26,7.940960097332563e-22,0.0011368521879051882,0.002800160839207426
116,2.0102180526762021e-25,6.503833555339889e-22,0.0009257759968709844,0.0023666513395277167
117,2.0102180526762021e-25,4.733792698722358e-22,0.0004636343634881983,0.0015481925957930218
118,5.191306747670824e-26,2.6028129673937607e-22,0.0007652494317174666,0.001966141313423384
119,5.191306747670824e-26,1.4881748023919324e-22,0.0008494605585741592,0.0019715690143519886
120,8.597149652870533e-27,8.168313935175197e-23,0.000790850815614327,0.001959806472343153
121,8.597149652870533e-27,1.4377711957687209e-22,0.0006950317256465312,0.0015914099381804108
122,1.319637808037998e-27,7.93027859871018e-23,0.0004630899681231436,0.0012081888838946081
123,1.319637808037998e-27,4.3704093318663293e-23,0.0005969781944637727,0.0014589356735289147
124,3.124456321255298e-28,2.406751562634987e-23,0.000633295135731251,0.0015238510040508258
125,3.124456321255298e-28,1.3249489307660635e-23,0.0005597380751399925,0.001487981119664617
126,5.272462371214928e-27,7.329293445035686e-24,0.0005074508880836763,0.0014055732514807661
127,5.272462371214928e-27,2.943557843183194e-23,0.00021658385330153502,0.0007116433044697234
128,9.54939943408323e-28,1.6316315412745624e-23,0.00039795895264533037,0.0009853947097124742
129,9.54939943408323e-28,9.108106026314869e-24,0.0004481265530797652,0.0011077760965615608
130,1.8231759211316415e-28,5.040347884092712e-24,0.00039877390136131626,0.0011874697412097368
131,1.8231759211316415e-28,2.7888557240708412e-24,0.0003194195373367679,0.0009636551667847241
132,6.0307275078012205e-28,1.5523771722842693e-24,0.00016827482954211474,0.0006661701971959148
133,6.0307275078012205e-28,1.462188040210477e-24,0.00029573392603527045,0.0008175524684018515
134,8.835258735287128e-28,8.430057634367861e-25,0.0003381643183413541,0.00089155047348869
135,8.835258735287128e-28,4.651189650676096e-25,0.00034173482247693324,0.0009121149665895895
136,2.446776728671032e-28,2.6707714569784384e-25,0.00029750791951436203,0.0008432349858320017
137,2.446776728671032e-28,6.517529939825772e-25,0.00017302251837582647,0.0005807529969967224
138,1.1816177103095484e-28,3.926812566350602e-25,0.0003004258736469854,0.0007865413711433314
139,1.1816177103095484e-28,2.1947332407321206e-25,0.0003875083291173479,0.0007635397387001856
140,2.609799551726573e-29,1.2149562230188923e-25,0.00039472840194724123,0.00077967880346298
141,2.609799551726573e-29,6.825258783505991e-26,0.0004028878429518406,0.0006462665653127396
142,5.219144729268371e-30,3.772309708835474e-26,0.00025631428174375197,0.0003706780800177207
143,5.219144729268371e-30,2.2407332520748197e-26,0.00033477889859955705,0.0006275209231889933
144,6.98687201118003e-30,2.0513823128479512e-26,0.00028559319127436793,0.0006390631715810374
145,6.98687201118003e-30,1.1327714051759518e-26,0.00026121539770747386,0.0005231459347837353
146,1.4675712370159072e-30,6.2735560298189825e-27,9.501151266247054e-05,0.0003375689170854239
147,1.4675712370159072e-30,1.5737112652175523e-26,7.699423480354723e-05,0.0003065316739788055
148,2.7633946285190445e-31,9.568241361127847e-27,0.0001380322110172183,0.00042310876815656586
149,2.7633946285190445e-31,9.094973494928468e-27,0.0001748828568839604,0.0004590651827734365
150,2.151061322200015e-31,2.3171089252583937e-26,0.00015321594194074467,0.0004586027800039112
151,2.151061322200015e-31,1.2922202679890557e-26,0.0001338849855246471,0.0004260388350595147
152,3.66368230360883e-32,5.220596458410155e-26,4.8610086458917334e-05,0.00025316282983501096
153,3.66368230360883e-32,2.966724690956918e-26,0.00013633979660933706,0.00039777333752417433
154,3.0043825616096994e-32,1.6836007307373747e-26,0.00015195039009617412,0.00038349634789616423
155,3.0043825616096994e-32,9.445867793821515e-27,0.0001359959383899813,0.0003278686038450739
156,7.338726903637005e-33,5.294652082454719e-27,0.00011756922946600844,0.0002569615799174114
157,7.338726903637005e-33,2.2878530500167617e-26,7.043191816666717e-05,0.00016023990843118445
158,1.2900540766914526e-33,1.2882969898056667e-26,0.00012771573334610203,0.0002886533715206496
159,1.2900540766914526e-33,7.248809685629791e-27,0.00014241802324828403,0.0003199411222668878
160,2.2276391405465384e-34,4.1269467581327336e-27,0.00013438039867211648,0.00032305129105181815
161,2.2276391405465384e-34,2.318542613508697e-27,0.00010754379302788466,0.00028410397029304563
162,3.3498576219591044e-35,1.4381353360862068e-27,4.267021509049562e-05,0.0001704703957419558
163,3.3498576219591044e-35,8.834303674691187e-28,0.0001079845178169493,0.00026682998924237
164,6.26494763565933e-36,4.946729907343004e-28,0.000137560377081553,0.00031239157042920514
165,6.26494763565933e-36,2.7976310937308e-28,0.00014060991543744073,0.0002936120375522061
166,1.6104111367239524e-36,1.5641265040405942e-28,0.00011477353078145173,0.00025358516202327876
167,1.6104111367239524e-36,8.738855832998149e-29,5.280950595637223e-05,0.00011559755837716479
168,8.913286048609638e-37,4.8791277948742567e-29,9.440839158429931e-05,0.00015932771128073132
169,8.913286048609638e-37,2.722314606074e-29,0.00010219034855286797,0.0002144986383064699
170,1.4442854168575836e-37,1.5179115028913402e-29,9.629972966511215e-05,0.00022597465012534683
171,1.4442854168575836e-37,8.458046445694988e-30,7.203524328449235e-05,0.00021089041951319418
172,2.493315866507362e-38,5.097205690777693e-30,3.3833353589565735e-05,0.00013265640622626794
173,2.493315866507362e-38,2.840316362876066e-30,6.350658667606982e-05,0.00016007806182875516
174,4.1782861299035236e-39,1.5790857192069334e-30,6.10618266085297e-05,0.00015485230378441963
175,4.1782861299035236e-39,5.704338677708897e-30,1.4232625565609827e-05,6.943668211979227e-05
176,7.425378113294568e-40,3.190888227368711e-30,4.390046043797287e-05,0.00013683338870464014
177,7.425378113294568e-40,1.963463945594121e-30,2.7294403122304767e-05,7.12976758224515e-05
178,1.609167965063413e-40,1.0963964789982236e-30,4.208531592255525e-05,0.00010816272984608916
179,1.609167965063413e-40,6.1183771794588055e-31,5.023830639034028e-05,0.00011255163521565223
180,9.9575628406964e-41,3.41568953085729e-31,4.399052023894098e-05,0.0001146461772819087
181,9.9575628406964e-41,1.9055986253331946e-31,4.314138750599206e-05,0.00010038540392876344
182,1.5931706210305469e-41,1.0613910743891596e-31,9.423058142108957e-06,4.783364149486841e-05
183,1.5931706210305469e-41,5.908198175231721e-32,2.749683678638621e-05,7.591907692285437e-05
184,5.564563981654972e-42,3.2868036980719834e-32,3.199090480542436e-05,9.319080923944014e-05
185,5.564563981654972e-42,1.8462832923868944e-32,3.403290189597967e-05,9.277573340055717e-05
186,1.019964821540463e-42,1.818742125675546e-32,3.03856825688326e-05,9.333562434697259e-05
187,1.019964821540463e-42,1.0106435587163449e-32,1.6314102464172933e-05,5.882609281759104e-05
188,2.1338378458835152e-43,5.885117645326121e-33,2.6496344855124415e-05,8.982098376756947e-05
189,2.1338378458835152e-43,4.6434528518252976e-33,2.651819098149898e-05,8.769943948481277e-05
190,4.527712222428158e-44,2.5760299028085394e-33,2.848331501975811e-05,8.315488380697252e-05
191,4.527712222428158e-44,1.4741159423475652e-33,2.315717571080153e-05,6.181410680414558e-05
192,8.385675148761575e-45,2.8416030125213142e-33,7.363162715119185e-06,3.1601369412516755e-05
193,8.385675148761575e-45,1.5810759915710853e-33,1.8162540439786632e-05,5.931699353380419e-05
194,9.418427327660175e-45,9.584344878569488e-34,1.7363717195178564e-05,6.658375561845555e-05
195,9.418427327660175e-45,5.324827067730785e-34,1.643604680486864e-05,6.344930437334454e-05
196,4.285494060421047e-45,2.9567085262614418e-34,1.3307445422867535e-05,6.045108253156489e-05
197,4.285494060421047e-45,2.7387869570638192e-34,6.717567638662421e-06,3.440731356853723e-05
198,3.140994679931611e-45,1.52033662836876e-34,1.3383786989110436e-05,5.116608291379382e-05
199,3.140994679931611e-45,8.435037926941335e-35,1.5927613593961223e-05,5.6077555678193386e-05
200,5.06367389183367e-46,2.069781306636302e-34,1.725182929868224e-05,5.105293626329867e-05
201,5.06367389183367e-46,1.153184633126915e-34,1.4425674357186984e-05,3.799842447771004e-05
