time;pollution;pollution_parameter;traces;leakage_boundary;confidence_value,confidence_values
2021-07-01 13:28:05.094442;none;0;300000;38380;0.0;0.0
2021-07-01 13:28:20.593823;jitter;0.75;300000;-1;0.7447064066462132;0.7447064066462132
2021-07-01 13:28:35.950929;desync;2.0;300000;-1;0.49748670125552796;0.49748670125552796
