,DL-LA 9-class,DL-LA Wegener,"TVLA $t$-test, $\mu_1$",TVLA $\rho$-test
0,,0.5166666666666667,1.0,
1,,0.26666666666666666,1.0,
2,,0.15,1.0,
3,,0.07916666666666666,,
4,0.08554267306561467,0.046875,,
5,0.08554267306561467,0.028125,,
6,0.01469964032297121,0.015104166666666667,,
7,0.01469964032297121,0.008072916666666667,,
8,0.003398467407542773,0.004296875,,
9,0.003398467407542773,0.0022786458333333335,,
10,0.0007438177680825217,0.0012044270833333334,,
11,0.0007438177680825217,0.000634765625,,
12,0.000205911345951705,0.0003336588541666667,,
13,0.000205911345951705,0.00017496744791666667,,
14,3.453204483644034e-05,9.1552734375e-05,,
15,3.453204483644034e-05,5.5948893229166664e-05,,
16,4.757146866704867e-06,2.9246012369791668e-05,,
17,4.757146866704867e-06,1.52587890625e-05,0.6484067777309349,
18,1.4022189851284352e-06,7.947285970052084e-06,0.6330879075443878,
19,1.4022189851284352e-06,4.132588704427083e-06,0.6217437364730591,
20,3.456452511651714e-07,2.1457672119140625e-06,0.5819033083121319,
21,3.456452511651714e-07,1.1126200358072917e-06,0.5913066490121124,
22,8.681177218438194e-08,5.76178232828776e-07,0.6011635859099262,
23,8.681177218438194e-08,2.980232238769531e-07,0.580857384459301,
24,4.2181354166883853e-08,1.5397866566975912e-07,0.5558357240148919,
25,4.2181354166883853e-08,7.947285970052083e-08,0.5068514935966147,
26,1.583968895626929e-08,4.0978193283081055e-08,0.4736909906108966,
27,1.583968895626929e-08,2.1109978357950847e-08,0.4475344878147544,0.5649936488868241
28,4.430438122359133e-09,3.6073227723439535e-08,0.4478157854165194,0.5739318828396784
29,4.430438122359133e-09,1.909211277961731e-08,0.4667514496784553,0.5494616242051391
30,8.005708641420181e-10,1.0089327891667684e-08,0.4544317026160612,0.5202194077519307
31,8.005708641420181e-10,5.324060718218486e-09,0.4384347012952105,0.5068099303400578
32,2.156168562152647e-10,2.805609256029129e-09,0.4484711134544609,0.5263245586387718
33,2.156168562152647e-10,1.47653433183829e-09,0.4745065631319248,0.5255718660940998
34,3.559105070135153e-11,7.761021455128988e-10,0.4656063783259665,0.5272012455695164
35,3.559105070135153e-11,7.130438461899757e-10,0.4476337500495525,0.5395416768800754
36,5.25794443825553e-12,3.75196880971392e-10,0.42846217518746366,0.5034552429260856
37,5.25794443825553e-12,1.9717845134437085e-10,0.377230889153225,0.5397318338368419
38,1.822921610822857e-12,1.0350049706175923e-10,0.43376375500739295,0.5004599131142629
39,1.822921610822857e-12,5.4266517205784716e-11,0.4609291718310138,0.5017713295472477
40,3.177399513870982e-13,2.8421709430404007e-11,0.481851981790257,0.5121998184998364
41,3.177399513870982e-13,1.4870238373987378e-11,0.46765981499303394,0.48212891959293935
42,2.7011400684561162e-14,7.772390138901148e-12,0.45693878064515114,0.4620808303086427
43,2.7011400684561162e-14,4.0586201066616926e-12,0.49081396644329545,0.4805945699886257
44,3.625416463118775e-15,2.1600499167107046e-12,0.5182746158675431,0.46340933314130095
