method;traces;pollution;param;p
cri_tvla_2;300000;gauss;27;0.0019174963030441235
dlla9;300000;gauss;27;0.5231676497431509
dlla2;300000;gauss;27;0.10219535301193766
cri_tvla_1;300000;gauss;28;0.0021288532061272255
cri_tvla_2;300000;gauss;28;0.007430433669802172
dlla9;300000;gauss;28;0.5056643950893488
dlla2;300000;gauss;28;0.28132612697890474
cri_tvla_1;300000;gauss;29;0.004755760788445512
cri_tvla_2;300000;gauss;29;0.0013957570385244255
dlla9;300000;gauss;29;0.7374876815429664
dlla2;300000;gauss;29;0.47928301240902643
cri_tvla_1;300000;gauss;30;0.0034139444493108636
cri_tvla_2;300000;gauss;30;0.0018274895355761974
dlla9;300000;gauss;30;0.6025097848423666
dlla2;300000;gauss;30;0.4527366897156633
cri_tvla_1;300000;gauss;31;0.0027202393426234467
cri_tvla_2;300000;gauss;31;0.014310866672620446
dlla9;300000;gauss;31;0.9798783544613454
dlla2;300000;gauss;31;0.8639933622017286
cri_tvla_1;300000;gauss;32;4.275997272922447e-05
cri_tvla_2;300000;gauss;32;0.00621788438085899
dlla9;300000;gauss;32;0.1657141798099115
dlla2;300000;gauss;32;0.16545909947222115
cri_tvla_1;300000;gauss;33;0.005038254395330595
cri_tvla_2;300000;gauss;33;0.0022209414228129046
dlla9;300000;gauss;33;0.9940156822329647
dlla2;300000;gauss;33;0.5648515313679141
cri_tvla_1;300000;gauss;34;0.005388439816472851
cri_tvla_2;300000;gauss;34;0.004308027614287266
dlla9;300000;gauss;34;0.5896833909896508
dlla2;300000;gauss;34;0.815419829775166
cri_tvla_1;300000;gauss;35;0.000736230154163071
cri_tvla_2;300000;gauss;35;3.1551180198844626e-05
dlla9;300000;gauss;35;0.2102348075562916
dlla2;300000;gauss;35;0.608191866820434
cri_tvla_1;300000;gauss;36;0.0005660571677735212
cri_tvla_2;300000;gauss;36;0.0026193850965087286
dlla9;300000;gauss;36;0.744709686527003
dlla2;300000;gauss;36;0.9311453584371243
cri_tvla_1;300000;gauss;37;0.0013112951759372538
cri_tvla_2;300000;gauss;37;0.003650433694163771
dlla9;300000;gauss;37;0.7069930305168005
dlla2;300000;gauss;37;0.00385566665191992
cri_tvla_1;300000;gauss;38;0.0014805550607521936
cri_tvla_2;300000;gauss;38;0.0033255696577507428
dlla9;300000;gauss;38;0.8488731534942482
dlla2;300000;gauss;38;0.09573367557175311
cri_tvla_1;300000;gauss;39;0.000206573910245317
cri_tvla_2;300000;gauss;39;0.001908087085046889
dlla9;300000;gauss;39;0.09300993948267318
dlla2;300000;gauss;39;0.6931109101632255
cri_tvla_1;300000;gauss;40;0.0024061929694241917
cri_tvla_2;300000;gauss;40;0.004936072084118478
dlla9;300000;gauss;40;0.16488438572675332
dlla2;300000;gauss;40;0.37199934866370654
cri_tvla_1;300000;gauss;0;0.034853832119597625
cri_tvla_2;300000;gauss;0;1.801389649801573e-36
dlla9;300000;gauss;0;0.0
dlla2;300000;gauss;0;0.0
cri_tvla_1;300000;gauss;1;0.0030845989423630223
