method;p
tvla_t_1;0.008014278629747344
tvla_t_2;0.02393249866828876
tvla_rho;0.046615108688143
dlla_open;0.9428211183660042
dlla_wegener;0.6044950649490815
tvla_t_1;0.016463004465310512
tvla_t_2;0.026822549357140932
tvla_rho;0.037150334207207036
dlla_open;0.3580073055956029
dlla_wegener;0.7839708094290536
tvla_t_1;0.025674489206002966
tvla_t_2;0.04616147475498978
tvla_rho;0.022738698836978877
dlla_open;0.36995333084126314
dlla_wegener;0.21265553776967816
tvla_t_1;0.0296292836021583
tvla_t_2;0.023249680476919
tvla_rho;0.017940422734535666
dlla_open;0.3052675692130349
dlla_wegener;0.18595971684088847
tvla_t_1;0.04463529140724611
tvla_t_2;0.02393298990429027
tvla_rho;0.004562114895346969
dlla_open;0.12149962787034761
dlla_wegener;0.7218664587281705
tvla_t_1;0.028049262560869384
tvla_t_2;0.05839208881635123
tvla_rho;0.04496262434562248
dlla_open;0.0965127637909069
dlla_wegener;0.5419744638590518
tvla_t_1;0.038383048368236784
tvla_t_2;0.021264352890671342
tvla_rho;0.03597116372330311
dlla_open;0.828611914026262
dlla_wegener;0.20983661465602282
tvla_t_1;0.01155848316448153
tvla_t_2;0.02824847430561965
tvla_rho;0.02222006111042063
dlla_open;0.2509066497958838
dlla_wegener;0.24616991891555262
tvla_t_1;0.02483695057191008
tvla_t_2;0.02296951219332893
tvla_rho;0.010676449317204462
dlla_open;0.7551405163492261
dlla_wegener;0.45796733303752646
tvla_t_1;0.06543183620935512
tvla_t_2;0.02862270655875293
tvla_rho;0.03638084336806724
dlla_open;0.10085004277757315
dlla_wegener;0.5208863598322812
tvla_t_1;0.005697628498458976
tvla_t_2;0.058801024084235314
tvla_rho;0.0186703717376826
dlla_open;0.3128378043862738
dlla_wegener;0.664652809497879
tvla_t_1;0.031820310924295124
tvla_t_2;0.021886068798371926
tvla_rho;0.02006790369120548
dlla_open;0.19889861841972312
dlla_wegener;0.799484745000616
tvla_t_1;0.039170241529143904
tvla_t_2;0.0321244420613351
tvla_rho;0.01403595134524016
dlla_open;0.955013505902542
dlla_wegener;0.7670924933803965
tvla_t_1;0.014779879738008235
tvla_t_2;0.04301241835843216
tvla_rho;0.0462156901676265
dlla_open;0.7960410654123624
dlla_wegener;0.6884126540759995
tvla_t_1;0.046014906045853746
tvla_t_2;0.05092603417479991
tvla_rho;0.03462972469172709
dlla_open;0.5344518224549123
dlla_wegener;0.3172748350508843
tvla_t_1;0.022318533682278614
tvla_t_2;0.0500273579207773
tvla_rho;0.024725276658563056
dlla_open;0.8499324830215186
dlla_wegener;0.11093441715204166
tvla_t_1;0.027735323131212502
tvla_t_2;0.03920100080635036
tvla_rho;0.015504298219894075
dlla_open;0.7857029940482494
dlla_wegener;0.5426587885210257
tvla_t_1;0.01779528894812631
tvla_t_2;0.020667284531030464
tvla_rho;0.03431135347140146
dlla_open;0.4249811020962848
dlla_wegener;0.2810413050177234
tvla_t_1;0.02707359224581013
tvla_t_2;0.034382287692520636
tvla_rho;0.03868561234080348
dlla_open;0.16298344821448238
dlla_wegener;0.0005552951490603437
tvla_t_1;0.030608471618337737
tvla_t_2;0.03291549729778083
tvla_rho;0.013291996347971624
dlla_open;0.7909852219941962
dlla_wegener;0.45822735908205947
tvla_t_1;0.025384938241790174
tvla_t_2;0.03170694190793684
tvla_rho;0.04878220710813275
dlla_open;0.4981424612508073
dlla_wegener;0.03685882854103677
tvla_t_1;0.023865055194358786
tvla_t_2;0.017447309475995855
tvla_rho;0.008996186473930745
dlla_open;0.8192505437480664
dlla_wegener;0.810951739834291
tvla_t_1;0.03654398648889795
tvla_t_2;0.029677112189566732
tvla_rho;0.03958883986842676
dlla_open;0.536086610520991
dlla_wegener;0.770483545019893
tvla_t_1;0.050935668705588306
tvla_t_2;0.008777287259966144
tvla_rho;0.005196777872868097
dlla_open;0.5463836957783981
dlla_wegener;0.033984247873042425
tvla_t_1;0.022503154616758236
tvla_t_2;0.006151110097044993
tvla_rho;0.043485150154317864
dlla_open;0.40402671224124553
dlla_wegener;0.37541175944950045
tvla_t_1;0.024953649028871868
tvla_t_2;0.031915359604861665
tvla_rho;0.009105424725803113
dlla_open;0.7534294061452884
dlla_wegener;0.5211488469402035
tvla_t_1;0.0561949199379405
tvla_t_2;0.012478829947771454
tvla_rho;0.023815829049089077
dlla_open;0.5836454432402214
dlla_wegener;0.45752295231389856
tvla_t_1;0.026647091732409024
tvla_t_2;0.05557235521499619
tvla_rho;0.02094330026327973
dlla_open;0.6589815979365344
dlla_wegener;0.9768151862922851
tvla_t_1;0.03642466128096827
tvla_t_2;0.0031943262300082255
tvla_rho;0.030237790953173027
dlla_open;0.033480337021954576
dlla_wegener;0.046633651822785296
tvla_t_1;0.04794247105049448
tvla_t_2;0.030825336027253986
tvla_rho;0.022415775129184246
dlla_open;0.08140849678440772
dlla_wegener;0.23138177422728645
tvla_t_1;0.026350328378619187
tvla_t_2;0.01248662339262772
tvla_rho;0.015047155142329682
dlla_open;0.4988268215122085
dlla_wegener;0.3756640511331505
tvla_t_1;0.04491439825330439
tvla_t_2;0.03892928707851523
tvla_rho;0.040561722815850576
dlla_open;0.03956373620048657
dlla_wegener;0.5206334097335122
tvla_t_1;0.020026106627549275
tvla_t_2;0.0309698480255223
tvla_rho;0.006846019791585389
dlla_open;0.08168674764680743
dlla_wegener;0.07419006682451174
tvla_t_1;0.023042348510923186
tvla_t_2;0.03258040008816106
tvla_rho;0.0141720889941237
dlla_open;0.12240945608529624
dlla_wegener;0.583772638329458
tvla_t_1;0.04925592924142139
tvla_t_2;0.029057926281087033
tvla_rho;0.04981426433145053
dlla_open;0.8359946765306826
dlla_wegener;0.5211637212843963
tvla_t_1;0.01120518675379967
tvla_t_2;0.014616903254341295
tvla_rho;0.029693309165523596
dlla_open;0.7441861315377376
dlla_wegener;0.6450706261366927
tvla_t_1;0.017651095831937403
tvla_t_2;0.03324466500579105
tvla_rho;0.02954214398769306
dlla_open;0.9920010216445305
dlla_wegener;0.8272762347653871
tvla_t_1;0.057570437232663536
tvla_t_2;0.025218847245715888
tvla_rho;0.011395574352008442
dlla_open;0.23787942272748433
dlla_wegener;0.022004978195124387
tvla_t_1;0.012354206923118088
tvla_t_2;0.02951220752132536
tvla_rho;0.016817116536965937
dlla_open;0.4641386822132344
dlla_wegener;0.5636099381030442
tvla_t_1;0.04859057252817085
tvla_t_2;0.01840623312115546
tvla_rho;0.033291083978017166
dlla_open;0.4700533607160299
dlla_wegener;0.9673029639260566
tvla_t_1;0.039445101799875225
tvla_t_2;0.015532279489782003
tvla_rho;0.04793334433514396
dlla_open;0.491414448957209
dlla_wegener;0.4785320411218665
tvla_t_1;0.018105493471281355
tvla_t_2;0.041415927626224786
tvla_rho;0.01691256227635396
dlla_open;0.9153123798256766
dlla_wegener;0.7351746649733287
tvla_t_1;0.03302876219879898
tvla_t_2;0.01103591221379424
tvla_rho;0.03694116615044796
dlla_open;0.9365527993721614
dlla_wegener;0.4577616990491293
tvla_t_1;0.02056885567706536
tvla_t_2;0.01716271718761028
tvla_rho;0.012837936712105424
dlla_open;0.5259943507187688
dlla_wegener;0.3763294110060982
tvla_t_1;0.009819769963347698
tvla_t_2;0.024904522898564183
tvla_rho;0.01189371714164178
dlla_open;0.03605886824061765
dlla_wegener;0.9229221940434789
tvla_t_1;0.020230958477693718
tvla_t_2;0.02006946078364717
tvla_rho;0.017683218891616725
dlla_open;0.8001792483035872
dlla_wegener;0.14423368640737477
tvla_t_1;0.04718603390423875
tvla_t_2;0.011397395611236028
tvla_rho;0.0045785614879785275
dlla_open;0.9699083642664941
dlla_wegener;0.06386001306501585
tvla_t_1;0.015503344932322666
tvla_t_2;0.02855215075789589
tvla_rho;0.012631445783485518
dlla_open;0.4155143771283897
dlla_wegener;0.9959245142032487
tvla_t_1;0.018282747509592148
tvla_t_2;0.014489794340325685
tvla_rho;0.035847563767375856
dlla_open;0.573462138581885
dlla_wegener;0.8956374344123389
tvla_t_1;0.026825448762776205
tvla_t_2;0.0371079052913688
tvla_rho;0.029788178955701294
dlla_open;0.9821267427249387
dlla_wegener;0.07491559191329211
tvla_t_1;0.023200128882844343
tvla_t_2;0.009953757491856653
tvla_rho;0.03731957935982533
dlla_open;0.19539378852880096
dlla_wegener;0.22664535549652703
tvla_t_1;0.022510937165969944
tvla_t_2;0.032318364919841754
tvla_rho;0.02615535220193177
dlla_open;0.45050742870228333
dlla_wegener;0.5
tvla_t_1;0.034194962340781294
tvla_t_2;0.03896643808218698
tvla_rho;0.012722842381274413
dlla_open;0.46461193855685945
dlla_wegener;0.37473140339202937
tvla_t_1;0.020839312589346057
tvla_t_2;0.04487556209146416
tvla_rho;0.03436884446460309
dlla_open;0.42467298373783113
dlla_wegener;0.43611881489340604
tvla_t_1;0.024804426094699582
tvla_t_2;0.012495251316993071
tvla_rho;0.012664491036843861
dlla_open;0.37417825612839983
dlla_wegener;0.6258731372282746
tvla_t_1;0.014600155844674086
tvla_t_2;0.010234186908230178
tvla_rho;0.0304267808597376
dlla_open;0.20357887253329687
dlla_wegener;0.3560890586276114
tvla_t_1;0.014129137017472065
tvla_t_2;0.05904569782434791
tvla_rho;0.03266125795899133
dlla_open;0.5560983164432438
dlla_wegener;0.6225314618548292
tvla_t_1;0.009450372219943324
tvla_t_2;0.03686151167505351
tvla_rho;0.012766228714270245
dlla_open;0.1912281679414841
dlla_wegener;0.881202984205743
tvla_t_1;0.026567705943104584
tvla_t_2;0.02517155683039184
tvla_rho;0.0331987440481174
dlla_open;0.8604285436136827
dlla_wegener;0.7059289616427972
tvla_t_1;0.012049428271303932
tvla_t_2;0.03759413280846086
tvla_rho;0.02162887058219365
dlla_open;0.9037059080793189
dlla_wegener;0.12064430138476268
tvla_t_1;0.03396326771296352
tvla_t_2;0.005205841435343101
tvla_rho;0.009777995113758431
dlla_open;0.6976081507825406
dlla_wegener;0.19416161448946234
tvla_t_1;0.03758810610495245
tvla_t_2;0.012030976388045936
tvla_rho;0.05087696699095745
dlla_open;0.7689900722783296
dlla_wegener;0.45853870983716855
tvla_t_1;0.05350402440295929
tvla_t_2;0.02386978616812683
tvla_rho;0.04580587445704132
dlla_open;0.34874931493815386
dlla_wegener;0.5
tvla_t_1;0.028930537871033467
tvla_t_2;0.02910555015061327
tvla_rho;0.03922751614793474
dlla_open;0.41893169549074494
dlla_wegener;0.6647623587723392
tvla_t_1;0.028510517960364547
tvla_t_2;0.0052946576118348375
tvla_rho;0.013138429811468066
dlla_open;0.186866259224817
dlla_wegener;0.6819039329127029
tvla_t_1;0.031063251039122882
tvla_t_2;0.014661387375155644
tvla_rho;0.03174677476349608
dlla_open;0.34669684356513675
dlla_wegener;0.28171703077515214
tvla_t_1;0.013176901845862432
tvla_t_2;0.0037563713417905304
tvla_rho;0.045856730147314284
dlla_open;0.7120433114495023
dlla_wegener;0.9312334207216447
tvla_t_1;0.04104894299171575
tvla_t_2;0.043309555824745424
tvla_rho;0.023987487977003452
dlla_open;0.8305271697871281
dlla_wegener;0.9080322946837585
tvla_t_1;0.027866420758643293
tvla_t_2;0.024473728010355498
tvla_rho;0.030249523895114594
dlla_open;0.10477310799494517
dlla_wegener;0.9212080901957327
tvla_t_1;0.04048413964416053
tvla_t_2;0.06673826569188894
tvla_rho;0.0613180288417452
dlla_open;0.5128468506558985
dlla_wegener;0.7547403097568524
tvla_t_1;0.03571103551733828
tvla_t_2;0.030371421078401233
tvla_rho;0.0037820847897782617
dlla_open;0.4636825086939662
dlla_wegener;0.45814122066455093
tvla_t_1;0.01897167680731137
tvla_t_2;0.05232104947013191
tvla_rho;0.016714445287159263
dlla_open;0.25281688138174513
dlla_wegener;0.5828084136479388
tvla_t_1;0.025823802760085522
tvla_t_2;0.009284182271979155
tvla_rho;0.0307157163012024
dlla_open;0.4026528780752906
dlla_wegener;0.04528154775307235
tvla_t_1;0.035006708339912936
tvla_t_2;0.01868457255468627
tvla_rho;0.015470989146449954
dlla_open;0.059530028936545944
dlla_wegener;0.623918845810973
tvla_t_1;0.01477575995676892
tvla_t_2;0.04365730991130644
tvla_rho;0.02602227022491399
dlla_open;0.004758781008464886
dlla_wegener;0.2418374582975717
tvla_t_1;0.015819616768156592
tvla_t_2;0.0035891966665254475
tvla_rho;0.029865259935366595
dlla_open;0.9204281908607003
dlla_wegener;0.9190604727996164
tvla_t_1;0.0196338570393976
tvla_t_2;0.03758831405493264
tvla_rho;0.023660699265705354
dlla_open;0.4840595672872523
dlla_wegener;0.7842871056027394
tvla_t_1;0.023231504572044412
tvla_t_2;0.03637258175538205
tvla_rho;0.03993039291430911
dlla_open;0.2241824444632885
dlla_wegener;0.24810943749987613
tvla_t_1;0.034383337504602686
tvla_t_2;0.03074958216596883
tvla_rho;0.01366136967620557
dlla_open;0.86978836790751
dlla_wegener;0.6056611684038249
tvla_t_1;0.022507062897714543
tvla_t_2;0.008807762808954716
tvla_rho;0.038320804398305874
dlla_open;0.1988083542735652
dlla_wegener;0.33457572909358657
tvla_t_1;0.047456317881109294
tvla_t_2;0.0308555848125533
tvla_rho;0.02797303798202644
dlla_open;0.5975860579887154
dlla_wegener;0.01757081546498912
tvla_t_1;0.012433321598218092
tvla_t_2;0.020060671367536795
tvla_rho;0.016311248180550297
dlla_open;0.6086897790164392
dlla_wegener;0.9066441312617608
tvla_t_1;0.03908665676477898
tvla_t_2;0.03481261687903125
tvla_rho;0.013084014784511933
dlla_open;0.1628746643191806
dlla_wegener;0.7854023497798254
tvla_t_1;0.03543060937645497
tvla_t_2;0.006556710446025883
tvla_rho;0.022999250123026282
dlla_open;0.8177657881584875
dlla_wegener;0.12147625365831527
tvla_t_1;0.034301005933098025
tvla_t_2;0.011061391308989596
tvla_rho;0.03688601065351382
dlla_open;0.8686459042551993
dlla_wegener;0.6842802091766051
tvla_t_1;0.029356867704555395
tvla_t_2;0.019923140158454113
tvla_rho;0.01631449904382576
dlla_open;0.6225288700255744
dlla_wegener;0.4167420021944796
tvla_t_1;0.02789832072360614
tvla_t_2;0.01985117011272923
tvla_rho;0.0043165007705199265
dlla_open;0.3296956116861913
dlla_wegener;0.9667094164761003
tvla_t_1;0.008697758558978646
tvla_t_2;0.039837181435980605
tvla_rho;0.02835926960793822
dlla_open;0.6816168004015908
dlla_wegener;0.6257862384322185
tvla_t_1;0.01685850863256339
tvla_t_2;0.024918573530845384
tvla_rho;0.020435070274031242
dlla_open;0.5411738597530016
dlla_wegener;0.4787463687569635
tvla_t_1;0.023099747653903324
tvla_t_2;0.032253644791540366
