method;p
dlla_open;0.2872445716658014
dlla_wegener;0.9556207413081801
tvla_t_1;0.04853526435902845
tvla_t_2;0.027015433994702964
tvla_t_3;0.1756273401412807
tvla_rho;0.049712867626916735
dlla_open;0.3287444274943613
dlla_wegener;0.29649004900871334
tvla_t_1;0.05507353591567688
tvla_t_2;0.021900777928455524
tvla_t_3;0.14715162899003328
tvla_rho;0.012796115034371391
dlla_open;0.4077278131525006
dlla_wegener;0.5
tvla_t_1;0.012223388632913678
tvla_t_2;0.028234374712811216
tvla_t_3;0.16638482391627557
tvla_rho;0.03375332597054337
dlla_open;0.1894371798992962
dlla_wegener;0.09009980823603603
tvla_t_1;0.018117048223400777
tvla_t_2;0.05369417081289189
tvla_t_3;0.1805294534620012
tvla_rho;0.010602101368946792
dlla_open;0.6657687317067025
dlla_wegener;0.47889558862251946
tvla_t_1;0.050905223946255684
tvla_t_2;0.024119020598866035
tvla_t_3;0.16739627254914802
tvla_rho;0.026316482006936148
dlla_open;0.8337632752752611
dlla_wegener;0.5
tvla_t_1;0.04491288224479036
tvla_t_2;0.025811914854691604
tvla_t_3;0.21010284510468272
tvla_rho;0.04014372027179802
dlla_open;0.9258869464841281
dlla_wegener;0.33664498982999785
tvla_t_1;0.036934124518251635
tvla_t_2;0.009433171799636464
tvla_t_3;0.14810393898912766
tvla_rho;0.03386640941396735
dlla_open;0.20329346253032932
dlla_wegener;0.2988260846048354
tvla_t_1;0.012645195933968362
tvla_t_2;0.021461535778986105
tvla_t_3;0.1804278194931032
tvla_rho;0.022155256499778453
dlla_open;0.9200045198408981
dlla_wegener;0.18463245648130844
tvla_t_1;0.016751552250171803
tvla_t_2;0.014971173977711258
tvla_t_3;0.16771558471746958
tvla_rho;0.008073287596526368
dlla_open;0.6451983532524681
dlla_wegener;0.9237844823105144
tvla_t_1;0.03145817170194164
tvla_t_2;0.03143987663104745
tvla_t_3;0.17306164960140108
tvla_rho;0.021602028020115238
dlla_open;0.8977163079022019
dlla_wegener;0.6053659869328594
tvla_t_1;0.03085834919792952
tvla_t_2;0.039179432970469906
tvla_t_3;0.18324157546568853
tvla_rho;0.027424318074724008
dlla_open;0.5044316762709311
dlla_wegener;0.7763175604765329
tvla_t_1;0.04151442084618464
tvla_t_2;0.031174433844432373
tvla_t_3;0.18626210898477952
tvla_rho;0.018534795731616205
dlla_open;0.9864536009161393
dlla_wegener;0.542061859455321
tvla_t_1;0.04969103045595777
tvla_t_2;0.020558791725038248
tvla_t_3;0.09486984501711979
tvla_rho;0.02599977076669502
dlla_open;0.7330659168658512
dlla_wegener;0.5842381985088427
tvla_t_1;0.06729305107732869
tvla_t_2;0.0019975025816426763
tvla_t_3;0.1867466549180544
tvla_rho;0.027178877407935786
dlla_open;0.9315319892636844
dlla_wegener;0.43705334629480885
tvla_t_1;0.017934316548429453
tvla_t_2;0.040419598875810994
tvla_t_3;0.15813044843055876
tvla_rho;0.015737796008721716
dlla_open;0.39510384355544326
dlla_wegener;0.6629291725036476
tvla_t_1;0.04884466148153139
tvla_t_2;0.019302323015025494
tvla_t_3;0.1382194829528468
tvla_rho;0.014506802680321673
dlla_open;0.7346718632315059
dlla_wegener;0.683557593541123
tvla_t_1;0.02342482061341893
tvla_t_2;0.027200533325785845
tvla_t_3;0.21828385693106486
tvla_rho;0.020804259091319333
dlla_open;0.06794716277812034
dlla_wegener;0.4173583125613495
tvla_t_1;0.02130047539987095
tvla_t_2;0.03726189295326686
tvla_t_3;0.16496688003980603
tvla_rho;0.022469999881654656
dlla_open;0.0508702207768127
dlla_wegener;0.9356149916779816
tvla_t_1;0.031139159234396887
tvla_t_2;0.02276645430346499
tvla_t_3;0.14402223755260438
tvla_rho;0.03115738749717778
dlla_open;0.12622156293807466
dlla_wegener;0.5416586125704675
tvla_t_1;0.03662443900317163
tvla_t_2;0.00776970913442514
tvla_t_3;0.0885469791819387
tvla_rho;0.04082141207749701
dlla_open;0.32000043528972094
dlla_wegener;0.5630776507413133
tvla_t_1;0.017681316964413597
tvla_t_2;0.017107511258668606
tvla_t_3;0.19613169062794245
tvla_rho;0.005494108725696778
dlla_open;0.5786721917573372
dlla_wegener;0.6240851829770754
tvla_t_1;0.007302813063838322
tvla_t_2;0.032702381220768885
tvla_t_3;0.1694179518776655
tvla_rho;0.041856746765134956
dlla_open;0.3575318324364156
dlla_wegener;0.9040517675352326
tvla_t_1;0.04341935538172423
tvla_t_2;0.02787634187011318
tvla_t_3;0.1758419845634739
tvla_rho;0.008223599634704648
dlla_open;0.14836603775092103
dlla_wegener;0.2103399670777899
tvla_t_1;0.03904097600869588
tvla_t_2;0.025766060383364518
tvla_t_3;0.1968871057929324
tvla_rho;0.0516654836459165
dlla_open;0.060683148007005375
dlla_wegener;0.8302973110634135
tvla_t_1;0.034487154223263636
tvla_t_2;0.04118796107617272
tvla_t_3;0.22601434564533554
tvla_rho;0.04087703616147409
dlla_open;0.6044761058649382
dlla_wegener;0.10326622060723978
tvla_t_1;0.042478011465517086
tvla_t_2;0.01677321333436606
tvla_t_3;0.0940868761513597
tvla_rho;0.02726691006815174
dlla_open;0.2465825682338071
dlla_wegener;0.240074454913567
tvla_t_1;0.03740048816498395
tvla_t_2;0.009843308208143981
tvla_t_3;0.13428773891133866
tvla_rho;0.0467791180856616
dlla_open;0.45021109219461874
dlla_wegener;0.5
tvla_t_1;0.03720552687748344
tvla_t_2;0.03210816122545858
tvla_t_3;0.13403307473656825
tvla_rho;0.03403292200760277
dlla_open;0.6421913296983764
dlla_wegener;0.025664530597683734
tvla_t_1;0.00940653750376106
tvla_t_2;0.041228511682884196
tvla_t_3;0.13931999511100024
tvla_rho;0.01112741059217881
dlla_open;0.48217268611193664
dlla_wegener;0.5211488469402035
tvla_t_1;0.030526777117503043
tvla_t_2;0.041440712345722525
tvla_t_3;0.221943468759895
tvla_rho;0.014095507487839054
dlla_open;0.6394449899392383
dlla_wegener;0.12131024670633267
tvla_t_1;0.04189507824842249
tvla_t_2;0.02381976016724717
tvla_t_3;0.1460600692953014
tvla_rho;0.010017748947940497
dlla_open;0.32674292590786147
dlla_wegener;0.583032292955724
tvla_t_1;0.042518371254031996
tvla_t_2;0.03653877616549136
tvla_t_3;0.1557703618660209
tvla_rho;0.04154997036470576
dlla_open;0.7538763236174794
dlla_wegener;0.41540749282727024
tvla_t_1;0.044550131115944615
tvla_t_2;0.02734828170139154
tvla_t_3;0.1632173397187786
tvla_rho;0.01929498493348336
dlla_open;0.4655938399520274
dlla_wegener;0.9772498680518208
tvla_t_1;0.043663388085865944
tvla_t_2;0.023918464789732335
tvla_t_3;0.22790338556936465
tvla_rho;0.03145412581295526
dlla_open;0.10682320597198301
dlla_wegener;0.37649408939165513
tvla_t_1;0.011634034182602572
tvla_t_2;0.028910975358515167
tvla_t_3;0.10300252798295366
tvla_rho;0.01978980249024853
dlla_open;0.7952271778881382
dlla_wegener;0.6827251649491157
tvla_t_1;0.03770013241595049
tvla_t_2;0.04028225354264403
tvla_t_3;0.15621230289077925
