method;traces;pollution;param;kr
sca_hw;225000;gauss;7;10.96
sca_hw;225000;gauss;8;43.32
sca_hw;225000;gauss;9;77.54
sca_hw;225000;gauss;10;59.77
sca_hw;225000;gauss;11;47.64
sca_hw;225000;gauss;12;59.25
sca_hw;225000;gauss;13;85.76
sca_hw;225000;gauss;14;74.75
sca_hw;225000;gauss;15;76.26
sca_hw;225000;gauss;16;88.17
sca_hw;225000;gauss;17;70.32
sca_hw;225000;gauss;18;117.04
sca_hw;225000;gauss;19;81.78
sca_hw;225000;gauss;20;50.82
sca_hw;225000;gauss;21;51.69
sca_hw;225000;gauss;22;46.25
sca_hw;225000;gauss;23;91.36
sca_hw;225000;gauss;24;89.09
sca_hw;225000;gauss;25;45.15
sca_hw;225000;gauss;26;63.56
sca_hw;225000;gauss;27;110.53
sca_hw;225000;gauss;28;65.29
sca_hw;225000;gauss;29;51.6
sca_hw;225000;gauss;30;67.66
sca_hw;225000;gauss;31;80.88
sca_hw;225000;gauss;32;57.0
sca_hw;225000;gauss;33;43.5
sca_hw;225000;gauss;34;111.18
sca_hw;225000;gauss;35;52.61
sca_hw;225000;gauss;36;81.03
sca_hw;225000;gauss;37;116.84
sca_hw;225000;gauss;38;112.7
sca_hw;225000;gauss;39;65.95
sca_hw;225000;gauss;40;62.51
sca_hw;225000;gauss;0;1.0
sca_hw;225000;gauss;1;1.0
sca_hw;225000;gauss;2;1.0
sca_hw;225000;gauss;3;1.0
sca_hw;225000;gauss;4;1.0
sca_hw;225000;gauss;5;1.0
sca_hw;225000;gauss;6;4.02
sca_hw;225000;gauss;7;27.36
sca_hw;225000;gauss;8;42.14
sca_hw;225000;gauss;9;59.66
sca_hw;225000;gauss;10;83.71
sca_hw;225000;gauss;11;74.07
sca_hw;225000;gauss;12;85.88
sca_hw;225000;gauss;13;83.03
sca_hw;225000;gauss;14;105.1
sca_hw;225000;gauss;15;74.36
sca_hw;225000;gauss;16;117.06
sca_hw;225000;gauss;17;81.2
sca_hw;225000;gauss;18;79.37
sca_hw;225000;gauss;19;76.74
sca_hw;225000;gauss;20;71.12
sca_hw;225000;gauss;21;103.01
sca_hw;225000;gauss;22;84.24
sca_hw;225000;gauss;23;92.05
sca_hw;225000;gauss;24;83.16
sca_hw;225000;gauss;25;103.93
sca_hw;225000;gauss;26;66.57
sca_hw;225000;gauss;27;59.08
sca_hw;225000;gauss;28;41.55
sca_hw;225000;gauss;29;111.49
sca_hw;225000;gauss;30;80.36
sca_hw;225000;gauss;31;95.62
sca_hw;225000;gauss;32;65.26
sca_hw;225000;gauss;33;38.83
sca_hw;225000;gauss;34;89.79
sca_hw;225000;gauss;35;65.99
sca_hw;225000;gauss;36;87.79
sca_hw;225000;gauss;37;100.44
